 ID,Course,First name,Last name,Age,Suburb,Postcode,State,Phone,Voted,Voted Symbol
102597504,BENG,Nam,Tran,19,Melbourne,3000,VIC,0423001335,Yes,Libz
103097487,BACS,David,Lockwood,20,Cranbourne,3977,VIC,0459123456,No,N/A
102887071,BENG,Samosn,Rameshwar,20,Hawthorn,3122,VIC,0491570006,No,N/A
102930729,BAICT,Albert,Ronda,18,Richmond,3121,VIC,0491570156,No,N/A
102911333,BENG,Terry,Shawna,25,Melton,3337,VIC,0491570157,Yes,N/A
103449192,BACS,Mikey,Elias,23,Clayton,3168,VIC,0491570158,No,N/A
103178505,BAICT,Mervyn,Perry,22,Weribee,3030,VIC,0491570110,No,N/A
102143743,BACS,Talia,Apoorva,30,Clayton,3168,VIC,0491570313,No,N/A
102640955,BENG,Hunter,Jayce,21,Melbourne,3000,VIC,0491570737,No,N/A
102023106,BACS,Buck,Prem,23,Dandenong,3175,VIC,0491571266,No,N/A
103105345,BACS,Dick,Hervey,20,South Yarra,3141,VIC,0491571491,No,N/A
103737310,BACS,Scottie,Reid,19,Orange,2800,NSW,0491571804,No,N/A
103154955,BENG,Neal,Pravin,19,Pakenham,3810,VIC,0491572549,Yes,N/A
103909963,BENG,Danny,Jeana,24,Narre Warren,3805,VIC,0491572665,
